# Prefix-cache effect, within one sweep
#
# Source: benchmarks/reports/2026-09-16-vllm-sweep-mi300x-seedcollision.json
# In that run every cell used seeds 0,1,2. Seed 0's prompts had already been served by
# the first sweep of the day, so repeat 1 read a warm prefix cache while repeats 2 and 3
# did not. All three repeats ran within the same ~60s, so card warm-up is not the cause.
#
# The ratio is a FLOOR: cells at one context length shared a prompt pool in that run, so
# repeats 2 and 3 were themselves partly warm from the preceding cell.
#
# ctx   conc   warm tok/s   cold mean   ratio
    128     1        340.7       340.5    1.00x
    128     4       1122.0      1125.8    1.00x
    128    16       3687.6      3591.3    1.03x
    128    64      10849.2     10496.2    1.03x
   1024     1        317.9       305.9    1.04x
   1024     4       1059.8      1056.8    1.00x
   1024    16       3415.4      2891.3    1.18x
   1024    64       8930.4      6252.7    1.43x
   8192     1        237.1       196.5    1.21x
   8192     4        716.6       740.7    0.97x
   8192    16       1961.5       870.2    2.25x
   8192    64       2095.8       948.9    2.21x

# The reported (clean) run gives every cell and repeat a seed no other run uses.
# ctx   conc   clean tok/s   contaminated   ratio
    128     1         340.4          340.6    1.00x
    128     4        1118.1         1124.6    1.01x
    128    16        3583.6         3603.5    1.01x
    128    64       10293.6        10505.6    1.02x
   1024     1         305.6          306.4    1.00x
   1024     4         967.3         1057.8    1.09x
   1024    16        2681.4         2893.8    1.08x
   1024    64        5447.6         6280.8    1.15x
   8192     1         193.2          197.0    1.02x
   8192     4         449.3          716.6    1.59x
   8192    16         711.2          899.1    1.26x
   8192    64         725.3         1003.9    1.38x

# Cross-run ratios are NOT a clean prefix-cache measurement: the two sweeps ran at
# different times and the first-sweep anomaly above is unexplained. Within-run is.
